"A","ALIMENTARY TRACT AND METABOLISM","VOIES DIGESTIVES ET METABOLISME","ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"L01XX09","MILTEFOSINE","MILTEFOSINE","MILTEFOSIN"
"L01XX10","MASOPROCOL","MASOPROCOL","MASOPROCOL"
"L01XX11","ESTRAMUSTINE","ESTRAMUSTINE","ESTRAMUSTIN"
"L01XX14","TRETINOIN","TRETINOÏNE","TRETINOIN"
"L01XX16","MITOGUAZONE","MITOGUAZONE","MITOGUAZON"
"L01XX17","TOPOTECAN","TOPOTECAN","TOPOTECAN"
"L01XX18","TIAZOFURINE","TIAZOFURINE","TIAZOFURIN"
"L01XX19","IRINOTECAN","IRINOTECAN","IRINOTECAN"
"L01XX22","ALITRETINOIN","ALITRETINOINE","ALITRETINOIN"
"L01XX23","MITOTANE","MITOTANE","MITOTAN"
"L01XX24","PEGASPARGASE","PEGASPARGASE","PEGASPARGASE"
"L01XX25","BEXAROTENE","BEXAROTENE","BEXAROTEN"
"L01XX27","ARSENIC TRIOXIDE","ARSENIC TRIOXYDE","ARSENTRIOXID"
"L01XX29","DENILEUKIN DIFTITOX","DENILEUKINE DIFTITOX","DENILEUKIN DIFTITOX"
"L01XX32","BORTEZOMIB","BORTEZOMIB","BORTEZOMIB"
"L01XX33","CELECOXIB","CELECOXIB","CELECOXIB"
"L01XX35","ANAGRELIDE","ANAGRELIDE","ANAGRELID"
"L01XX36","OBLIMERSEN","OBLIMERSEN","OBLIMERSEN"
"L01XX37","SITIMAGENE CERADENOVEC","SITIMAGENE CERADENOVEC","SITIMAGEN CERADENOVEC"
"L01XX38","VORINOSTAT","VORINOSTAT","VORINOSTAT"
"L01XX39","ROMIDEPSIN","ROMIDEPSIN","ROMIDEPSIN"
"L01XY","COMBINATIONS OF ANTINEOPLASTIC AGENTS","ASSOCIATIONS D'ANTINEOPLASIQUES","KOMBINATIONEN VON ANTINEOPLASTISCHEN MITTELN"
"L02","ENDOCRINE THERAPY","THERAPEUTIQUE ENDOCRINE","ENDOKRINE THERAPIE"
"L02A","HORMONES AND RELATED AGENTS","HORMONES ET APPARENTES","HORMONE UND VERWANDTE MITTEL"
"L02AA","ESTROGENS","ESTROGENES","ESTROGENE"
"L02AA01","DIETHYLSTILBESTROL","DIETHYLSTILBESTROL","DIETHYLSTILBESTROL"
"L02AA02","POLYESTRADIOL PHOSPHATE","POLYESTRADIOL PHOSPHATE","POLYESTRADIOLPHOSPHAT"
"L02AA03","ETHINYLESTRADIOL","ETHINYLESTRADIOL","ETHINYLESTRADIOL"
"L02AA04","FOSFESTROL","FOSFESTROL","FOSFESTROL"
"L02AB","PROGESTOGENS","PROGESTATIFS","GESTAGENE"
"L02AB01","MEGESTROL","MEGESTROL","MEGESTROL"
"L02AB02","MEDROXYPROGESTERONE","MEDROXYPROGESTERONE","MEDROXYPROGESTERON"
"L02AB03","GESTONORONE","GESTONORONE","GESTONORON"
"L02AE","GONADOTROPIN RELEASING HORMONE ANALOGUES","ANALOGUES DE L'HORMONE ENTRAINANT LA LIBERATION DE GONADOTROPHINES","GONADOTROPIN-RELEASING-HORMON-ANALOGA"
"L02AE01","BUSERELIN","BUSERELINE","BUSERELIN"
"L02AE02","LEUPRORELIN","LEUPRORELINE","LEUPRORELIN"
"L02AE03","GOSERELIN","GOSERELINE","GOSERELIN"
"L02AE04","TRIPTORELIN","TRIPTORELINE","TRIPTORELIN"
"L02AX","OTHER HORMONES","AUTRES HORMONES","ANDERE HORMONE"
"L02B","HORMONE ANTAGONISTS AND RELATED AGENTS","ANTIHORMONES ET APPARENTES","HORMONANTAGONISTEN UND VERWANDTE MITTEL"
"L02BA","ANTI-ESTROGENS","ANTIESTROGENES","ANTIESTROGENE"
"L02BA01","TAMOXIFEN","TAMOXIFENE","TAMOXIFEN"
"L02BA02","TOREMIFENE","TOREMIFENE","TOREMIFEN"
"L02BA03","FULVESTRANT","FULVESTRANT","FULVESTRANT"
"L02BB","ANTI-ANDROGENS","ANTIANDROGENES","ANTIANDROGENE"
"L02BB01","FLUTAMIDE","FLUTAMIDE","FLUTAMID"
"L02BB02","NILUTAMIDE","NILUTAMIDE","NILUTAMID"
"L02BB03","BICALUTAMIDE","BICALUTAMIDE","BICALUTAMID"
"L02BG","ENZYME INHIBITORS","INHIBITEURS ENZYMATIQUES","ENZYM-INHIBITOREN"
"L02BG01","AMINOGLUTETHIMIDE","AMINOGLUTETHIMIDE","AMINOGLUTETHIMID"
"L02BG02","FORMESTANE","FORMESTANE","FORMESTAN"
"L02BG03","ANASTROZOLE","ANASTROZOLE","ANASTROZOL"
"L02BG04","LETROZOLE","LETROZOLE","LETROZOL"
"L02BG05","VOROZOLE","VOROZOLE","VOROZOL"
"L02BG06","EXEMESTANE","EXEMESTANE","EXEMESTAN"
"L02BX","HORMONS INHIBITORS","INHIBITEURS HORMONAUX","ANDERE HORMONANTAGONISTEN UND VERWANDTE MITTEL"
"L02BX01","ABARELIX","ABARELIX","ABARELIX"
"L03","IMMUNOSTIMULANTS","IMMUNOSTIMULANTS","IMMUNSTIMULANZIEN"
"L03A","CYTOKINES AND IMMUNOMODULATORS","CYTOKINES ET IMMUNOMODULATEURS","IMMUNSTIMULANZIEN"
"L03AA","COLONY STIMULATING FACTORS","FACTEURS DE CROISSANCE","KOLONIESTIMULIERENDE FAKTOREN"
"L03AA02","FILGRASTIM","FILGRASTIME","FILGRASTIM"
"L03AA03","MOLGRAMOSTIM","MOLGRAMOSTIME","MOLGRAMOSTIM"
"L03AA09","SARGRAMOSTIM","SARGRAMOSTIME","SARGRAMOSTIM"
"L03AA10","LENOGRASTIM","LENOGRASTIME","LENOGRASTIM"
"L03AA12","ANCESTIM","ANCESTIME","ANCESTIM"
"L03AA13","PEGFILGRASTIM","PEGFILGRASTIME","PEGFILGRASTIM"
"L03AB","INTERFERONS","INTERFERONS","INTERFERONE"
"L03AB01","INTERFERON ALFA NATURAL","INTERFERON ALPHA NATUREL","INTERFERON ALFA, NATÜRLICH"
"L03AB02","INTERFERON BETA NATURAL","INTERFERON BETA NATUREL","INTERFERON BETA, NATÜRLICH"
"L03AB03","INTERFERON GAMMA","INTERFERON GAMMA","INTERFERON GAMMA"
"L03AB04","INTERFERON ALFA-2A","INTERFERON ALPHA-2A","INTERFERON ALFA-2A"
"L03AB05","INTERFERON ALFA-2B","INTERFERON ALPHA-2B","INTERFERON ALFA-2B"
"L03AB06","INTERFERON ALFA-N1","INTERFERON ALPHA-N1","INTERFERON ALFA-N1"
"L03AB07","INTERFERON BETA-1A","INTERFERON BETA-1A","INTERFERON BETA-1A"
"L03AB08","INTERFERON BETA-1B","INTERFERON BETA-1B","INTERFERON BETA-1B"
"L03AB09","INTERFERON ALFACON-1","INTERFERON ALPHACON-1","INTERFERON ALFACON-1"
"L03AB10","PEGINTERFERON ALFA-2B","PEGINTERFERON ALPHA-2B","PEGINTERFERON ALFA-2B"
"L03AB11","PEGINTERFERON ALFA-2A","PEGINTERFERON ALPHA-2A","PEGINTERFERON ALFA-2A"
"L03AB60","RIBAVIRIN, COMBINATIONS","RIBAVIRINE EN ASSOCIATION","RIBAVARIN, KOMBINATIONEN"
"L03AC","INTERLEUKINS","INTERLEUKINES","INTERLEUKINE"
"L03AC01","ALDESLEUKIN","ALDESLEUKINE","ALDESLEUKIN"
"L03AC02","OPRELVEKIN","OPRELVEKINE","OPRELVEKIN"
"L03AX","OTHER CYTOKINES AND IMMUNOMODULATORS","AUTRES CYTOKINES ET IMMUNOMODULATEURS","ANDERE IMMUNSTIMULANZIEN"
"L03AX01","LENTINAN","LENTINAN","LENTINAN"
"L03AX02","ROQUINIMEX","ROQUINIMEX","ROQUINIMEX"
"L03AX03","BCG VACCINE","VACCIN BCG","BCG-IMPFSTOFF"
"L03AX04","PEGADEMASE","PEGADEMASE","PEGADEMASE"
"L03AX05","PIDOTIMOD","PIDOTIMOD","PIDOTIMOD"
"L03AX06","EDRECOLOMAB","EDRECOLOMAB","EDRECOLOMAB"
"L03AX07","POLY I:C","POLY I:C","POLY I:C"
"L03AX08","POLY ICLC","POLY ICLC","POLY ICLC"
"L03AX09","THYMOPENTIN","THYMOPENTINE","THYMOPENTIN"
"L03AX10","IMMUNOCYANIN","IMMUNOCYANINE","IMMUNOCYANIN"
"L03AX11","TASONERMIN","TASONERMINE","TASONERMIN"
"L03AX12","MELANOMA VACCINE","VACCIN CONTRE LE MELANOME","MELANOM-IMPFSTOFF"
"L03AX13","GLATIRAMER ACETATE","ACETATE DE GLATIRAMER","GLATIRAMERACETAT"
"L04","IMMUNOSUPPRESSIVE AGENTS","IMMUNOSUPPRESSEURS","IMMUNSUPPRESSIVA"
"L04A","IMMUNOSUPPRESSIVE AGENTS","IMMUNOSUPPRESSEUR","IMMUNSUPPRESSIVA"
"L04AA","SELECTIVE IMMUNOSUPPRESSIVE AGENTS","IMMUNOSUPPRESSEURS SELECTIFS","SELEKTIVE IMMUNSUPPRESSIVA"
"L04AA02","MUROMONAB-CD3","MUROMONAB-CD3","MUROMONAB-CD3"
"L04AA03","ANTILYMPHOCYTE IMMUNOGLOBULIN (HORSE)","IMMUNOGLOBULINE ANTILYMPHOCYTE","ANTILYMPHOZYTÄRES IMMUNGLOBULIN (PFERD)"
"L04AA04","ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT)","IMMUNOGLOBULINE ANTITHYMOCYTE","ANTITHYMOZYTÄRES IMMUNGLOBULIN (KANINCHEN)"
"L04AA06","MYCOPHENOLIC ACID","ACIDE MYCOPHENOLIQUE","MYCOPHENOLSÄURE"
"L04AA10","SIROLIMUS","SIROLIMUS","SIROLIMUS"
"L04AA13","LEFLUNOMIDE","LEFLUNOMIDE","LEFLUNOMID"
"L04AA15","ALEFACEPT","ALEFACEPT","ALEFACEPT"
"L04AA18","EVEROLIMUS","EVEROLIMUS","EVEROLIMUS"
"L04AA19","GUSPERIMUS","GUSPERIMUS","GUSPERIMUS"
"L04AA21","EFALIZUMAB","EFALIZUMAB","EFALIZUMAB"
"L04AA22","ABETIMUS","ABETIMUS","ABETIMUS"
"L04AA23","NATALIZUMAB","NATALIZUMAB","NATALIZUMAB"
"L04AA24","ABATACEPT","ABATACEPT","ABATACEPT"
"L04AA25","ECULIZUMAB","ECULIZUMAB","ECULIZUMAB"
"L04AB","TUMOR NECROSIS FACTOR ALPHA (TNF-α) INHIBITORS","INHIBITEURS DES FACTEURS DE NECROSE TUMORALE ALPHA (TNF-α)","TUMORNEKROSEFAKTOR-ALPHA-INHIBITOREN (TNF-α)"
"L04AB01","ETANERCEPT","ETANERCEPT","ETANERCEPT"
"L04AB02","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB"
"L04AB03","AFELIMOMAB","AFELIMOMAB","AFELIMOMAB"
"L04AB04","ADALIMUMAB","ADALIMUMAB","ADALIMUMAB"
"L04AB05","CERTOLIZUMAB PEGOL","CERTOLIZUMAB PEGOL","CERTOLIZUMAB-PEGOL"
"L04AB06","GOLIMUMAB","GOLIMUMAB","GOLIMUMAB"
"L04AC","INTERLEUKIN INHIBITORS","INHIBITEURS DE RECEPTEUR D'INTERLEUKINE","INTERLEUKIN-INHIBITOREN"
"L04AC01","DACLIZUMAB","DACLIZUMAB","DACLIZUMAB"
"L04AC02","BASILIXIMAB","BASILIXIMAB","BASILIXIMAB"
"L04AC03","ANAKINRA","ANAKINRA","ANAKINRA"
"L04AC04","RILONACEPT","RILONACEPT","RILONACEPT"
"L04AC05","USTEKINUMAB","USTEKINUMAB","USTEKINUMAB"
"L04AC06","MEPOLIZUMAB","MEPOLIZUMAB","MEPOLIZUMAB"
"L04AC07","TOCILIZUMAB","TOCILIZUMAB","TOCILIZUMAB"
"L04AC08","CANAKINUMAB","CANAKINUMAB","CANAKINUMAB"
"L04AD","CALCINEURIN INHIBITORS","INHIBITEURS DE LA CALCINEURINE","CALCINEURIN-INHIBITOREN"
"L04AD01","CICLOSPORIN","CICLOSPORINE","CICLOSPORIN"
"L04AD02","TACROLIMUS","TACROLIMUS","TACROLIMUS"
"L04AX","OTHER IMMUNOSUPPRESSIVE AGENTS","AUTRES IMMUNOSUPPRESSEURS","ANDERE IMMUNSUPPRESSIVA"
"L04AX01","AZATHIOPRINE","AZATHIOPRINE","AZATHIOPRIN"
"L04AX02","THALIDOMIDE","THALIDOMIDE","THALIDOMID"
"L04AX03","METHOTREXATE (ORAL FORMULATIONS ONLY)","METHOTREXATE (VOIE ORALE)","METHOTREXAT"
"L04AX04","LENALIDOMIDE","LENALIDOMIDE","LENALIDOMID"
"M","MUSCULO-SKELETAL SYSTEM","MUSCLE ET SQUELETTE","MUSKEL- UND SKELETTSYSTEM"
"M01","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS","ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX","ANTIPHLOGISTIKA UND ANTIRHEUMATIKA"
"M01A","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","ANTIINFLAMMATOIRES, ANTIRHUMATISMAUX, NON STEROIDIENS","NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA"
"M01AA","BUTYLPYRAZOLIDINES","BUTYLPYRAZOLIDINES","BUTYLPYRAZOLIDINE"
"M01AA01","PHENYLBUTAZONE","PHENYLBUTAZONE","PHENYLBUTAZON"
"M01AA02","MOFEBUTAZONE","MOFEBUTAZONE","MOFEBUTAZON"
"M01AA03","OXYPHENBUTAZONE","OXYPHENBUTAZONE","OXYPHENBUTAZON"
"M01AA05","CLOFEZONE","CLOFEZONE","CLOFEZON"
"M01AA06","KEBUZONE","KEBUZONE","KEBUZON"
"M01AB","ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES","DERIVES DE L'ACIDE ACETIQUE ET APPARENTES","ESSIGSÄURE-DERIVATE UND VERWANDTE SUBSTANZEN"
"M01AB01","INDOMETACIN","INDOMETACINE","INDOMETACIN"
"M01AB02","SULINDAC","SULINDAC","SULINDAC"
"M01AB03","TOLMETIN","TOLMETINE","TOLMETIN"
"M01AB04","ZOMEPIRAC","ZOMEPIRAC","ZOMEPIRAC"
"M01AB05","DICLOFENAC","DICLOFENAC","DICLOFENAC"
"M01AB06","ALCLOFENAC","ALCLOFENAC","ALCLOFENAC"
"M01AB07","BUMADIZONE","BUMADIZONE","BUMADIZON"
"M01AB08","ETODOLAC","ETODOLAC","ETODOLAC"
"M01AB09","LONAZOLAC","LONAZOLAC","LONAZOLAC"
"M01AB10","FENTIAZAC","FENTIAZAC","FENTIAZAC"
"M01AB11","ACEMETACIN","ACEMETACINE","ACEMETACIN"
"M01AB12","DIFENPIRAMIDE","DIFENPIRAMIDE","DIFENPIRAMID"
"M01AB13","OXAMETACIN","OXAMETACINE","OXAMETACIN"
"M01AB14","PROGLUMETACIN","PROGLUMETACINE","PROGLUMETACIN"
"M01AB15","KETOROLAC","KETOROLAC","KETOROLAC"
"M01AB16","ACECLOFENAC","ACECLOFENAC","ACECLOFENAC"
"M01AB17","BUFEXAMAC","BUFEXAMAC","BUFEXAMAC"
"M01AB51","INDOMETACIN, COMBINATIONS","INDOMETACINE EN ASSOCIATION","INDOMETACIN, KOMBINATIONEN"
"M01AB55","DICLOFENAC, COMBINATIONS","DICLOFENAC EN ASSOCIATION","DICLOFENAC, KOMBINATIONEN"
"M01AC","OXICAMS","OXICAMS","OXICAME"
"M01AC01","PIROXICAM","PIROXICAM","PIROXICAM"
"M01AC02","TENOXICAM","TENOXICAM","TENOXICAM"
"M01AC04","DROXICAM","DROXICAM","DROXICAM"
"M01AC05","LORNOXICAM","LORNOXICAM","LORNOXICAM"
"M01AC06","MELOXICAM","MELOXICAM","MELOXICAM"
"M01AE","PROPIONIC ACID DERIVATIVES","DERIVES DE L'ACIDE PROPIONIQUE","PROPIONSÄURE-DERIVATE"
"M01AE01","IBUPROFEN","IBUPROFENE","IBUPROFEN"
"M01AE02","NAPROXEN","NAPROXENE","NAPROXEN"
"M01AE03","KETOPROFEN","KETOPROFENE","KETOPROFEN"
"M01AE04","FENOPROFEN","FENOPROFENE","FENOPROFEN"
"M01AE05","FENBUFEN","FENBUFENE","FENBUFEN"
"M01AE06","BENOXAPROFEN","BENOXAPROFENE","BENOXAPROFEN"
"M01AE07","SUPROFEN","SUPROFENE","SUPROFEN"
"M01AE08","PIRPROFEN","PIRPROFENE","PIRPROFEN"
"M01AE09","FLURBIPROFEN","FLURBIPROFENE","FLURBIPROFEN"
"M01AE10","INDOPROFEN","INDOPROFENE","INDOPROFEN"
"M01AE11","TIAPROFENIC ACID","ACIDE TIAPROFENIQUE","TIAPROFENSÄURE"
"M01AE12","OXAPROZIN","OXAPROZINE","OXAPROZIN"
"M01AE13","IBUPROXAM","IBUPROXAM","IBUPROXAM"
"M01AE14","DEXIBUPROFEN","DEXIBUPROFENE","DEXIBUPROFEN"
"M01AE15","FLUNOXAPROFEN","FLUNOXAPROFENE","FLUNOXAPROFEN"
"M01AE16","ALMINOPROFEN","ALMINOPROFÈNE","ALMINOPROFEN"
"M01AE17","DEXKETOPROFEN","DEXKETOPROFENE","DEXKETOPROFEN"
"M01AE51","IBUPROFEN, COMBINATIONS","IBUPROFENE EN ASSOCIATION","IBUPROFEN, KOMBINATIONEN"
"M01AE53","KETOPROFEN, COMBINATIONS","KETOPROFENE EN ASSOCIATION","KETOPROFEN, KOMBINATIONEN"
"M01AG","FENAMATES","FENAMATES","FENAMATE"
"M01AG01","MEFENAMIC ACID","ACIDE MEFENAMIQUE","MEFENAMINSÄURE"
"M01AG02","TOLFENAMIC ACID","ACIDE TOLFENAMIQUE","TOLFENAMINSÄURE"
"M01AG03","FLUFENAMIC ACID","ACIDE FLUFENAMIQUE","FLUFENAMINSÄURE"
"M01AG04","MECLOFENAMIC ACID","ACIDE MECLOFENAMIQUE","MECLOFENAMINSÄURE"
"M01AH","COXIBS","COXIBS","COXIBE"
"M01AH01","CELECOXIB","CELECOXIB","CELECOXIB"
"M01AH02","ROFECOXIB","ROFECOXIB","ROFECOXIB"
"M01AH03","VALDECOXIB","VALDECOXIB","VALDECOXIB"
"M01AH04","PARECOXIB","PARECOXIB","PARECOXIB"
"M01AH05","ETORICOXIB","ETORICOXIB","ETORICOXIB"
"M01AH06","LUMIRACOXIB","LUMIRACOXIB","LUMIRACOXIB"
"M01AX","OTHER ANTIINFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS","AUTRES ANTIINFLAMMATOIRES ANTIRHUMATISMAUX NON STEROIDIENS","ANDERE NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA"
"M01AX01","NABUMETONE","NABUMETONE","NABUMETON"
"M01AX02","NIFLUMIC ACID","ACIDE NIFLUMIQUE","NIFLUMINSÄURE"
"M01AX04","AZAPROPAZONE","AZAPROPAZONE","AZAPROPAZON"
"M01AX05","GLUCOSAMINE","GLUCOSAMINE","GLUCOSAMIN"
"M01AX07","BENZYDAMINE","BENZYDAMINE","BENZYDAMIN"
"M01AX12","GLUCOSAMINOGLYCAN POLYSULFATE","GLUCOSAMINOGLYCAN POLYSULFATE","GLUKOSAMINOGLYCANPOLYSULFAT"
"M01AX13","PROQUAZONE","PROQUAZONE","PROQUAZON"
"M01AX14","ORGOTEIN","ORGOTEÏNE","ORGOTEIN"
"M01AX17","NIMESULIDE","NIMESULIDE","NIMESULID"
"M01AX18","FEPRAZONE","FEPRAZONE","FEPRAZON"
"M01AX21","DIACEREIN","DIACEREÏNE","DIACEREIN"
"M01AX22","MORNIFLUMATE","MORNIFLUMATE","MORNIFLUMAT"
"M01AX23","TENIDAP","TENIDAP","TENIDAP"
"M01AX24","OXACEPROL","OXACEPROL","OXACEPROL"
"M01AX25","CHONDROITIN SULFATE","CHONDROITINE SULFATE","CHONDROITINSULFAT"
"M01AX68","FEPRAZONE, COMBINATIONS","FEPRAZONE EN ASSOCIATION","FEPRAZON, KOMBINATIONEN"
"M01B","ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION","ANTIINFLAMMATOIRES-ANTIRHUMATISMAUX EN ASSOCIATION","ANTIPHLOGISTIKA/ANTIRHEUMATIKA IN KOMBINATION"
"M01BA","ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION WITH CORTICOSTEROIDS","ANTIINFLAMMATOIRES-ANTIRHUMATISMAUX EN ASSOCIATION AVEC DES CORTICOIDES","ANTIPHLOGISTIKA/ANTIRHEUMATIKA IN KOMBINATION MIT CORTICOSTEROIDEN"
"M01BA01","PHENYLBUTAZONE AND CORTICOSTEROIDS","PHENYLBUTAZONE ET CORTICOÏDES","PHENYLBUTAZON UND CORTICOSTEROIDE"
"M01BA02","DIPYROCETYL AND CORTICOSTEROIDS","DIPYROCETYL ET CORTICOÏDES","DIPYROCETYL UND CORTICOSTEROIDE"
"M01BA03","ACETYLSALICYLIC ACID AND CORTICOSTEROIDS","ACIDE ACETYLSALICYLIQUE ET CORTICOÏDES","ACETYLSALICYLSÄURE UND CORTICOSTEROIDE"
"M01BX","OTHER ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION WITH OTHER DRUGS","AUTRES ANTIINFLAMMATOIRES EN ASSOCIATION","ANDERE ANTIPHLOGISTIKA/ANTIRHEUMATIKA IN KOMBINATION MIT ANDEREN MITTELN"
"M01C","SPECIFIC ANTIRHEUMATIC AGENTS","ANTIRHUMATISMAUX SPECIFIQUES","SPEZIFISCHE ANTIRHEUMATIKA"
"M01CA","QUINOLINES","QUINOLEINES","CHINOLINE"
"M01CA03","OXYCINCHOPHEN","OXYCINCHOPHENE","OXYCINCHOPHEN"
"M01CB","GOLD PREPARATIONS","MEDICAMENTS A BASE D'OR","GOLD-VERBINDUNGEN"
"M01CB01","SODIUM AUROTHIOMALATE","AUROTHIOMALATE SODIQUE","NATRIUMAUROTHIOMALAT"
"M01CB02","SODIUM AUROTHIOSULFATE","AUROTHIOSULFATE SODIQUE","NATRIUM AUROTHIOSULFAT"
"M01CB03","AURANOFIN","AURANOFINE","AURANOFIN"
"M01CB04","AUROTHIOGLUCOSE","AUROTHIOGLUCOSE","AUROTHIOGLUCOSE"
"M01CB05","AUROTIOPROL","AUROTIOPROL","AUROTIOPROL"
"M01CC","PENICILLAMINE AND SIMILAR AGENTS","PENICILLAMINE ET ANALOGUES","PENICILLAMIN UND ÄHNLICHE MITTEL"
"M01CC01","PENICILLAMINE","PENICILLAMINE","PENICILLAMIN"
"M01CC02","BUCILLAMINE","BUCILLAMINE","BUCILLAMIN"
"M01CX","OTHER SPECIFIC ANTIRHEUMATIC AGENTS","AUTRES MEDICAMENTS SPECIFIQUES ANTI-RHUMATISMAUX","ANDERE SPEZIFISCHE ANTIRHEUMATIKA"
"M02","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","TOPIQUES POUR DOULEURS ARTICULAIRE ET MUSCULAIRE","TOPISCHE MITTEL GEGEN GELENK- UND MUSKELSCHMERZEN"
"M02A","TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","TOPIQUE POUR DOULEURS ARTICULAIRE ET MUSCULAIRE","TOPISCHE MITTEL GEGEN GELENK- UND MUSKELSCHMERZEN"
"M02AA","ANTIINFLAMMATORY PREPARATIONS, NON-STEROIDS FOR TOPICAL USE","ANTIINFLAMMATOIRES NON STEROIDIENS A USAGE TOPIQUE","NICHTSTEROIDALE ANTIPHLOGISTIKA ZUR TOPISCHEN ANWENDUNG"
"M02AA01","PHENYLBUTAZONE","PHENYLBUTAZONE","PHENYLBUTAZON"
"M02AA02","MOFEBUTAZONE","MOFEBUTAZONE","MOFEBUTAZON"
"M02AA03","CLOFEZONE","CLOFEZONE","CLOFEZON"
"M02AA04","OXYPHENBUTAZONE","OXYPHENBUTAZONE","OXYPHENBUTAZON"
"M02AA05","BENZYDAMINE","BENZYDAMINE","BENZYDAMIN"
"M02AA06","ETOFENAMATE","ETOFENAMATE","ETOFENAMAT"
"M02AA07","PIROXICAM","PIROXICAM","PIROXICAM"
"M02AA08","FELBINAC","FELBINAC","FELBINAC"
"M02AA09","BUFEXAMAC","BUFEXAMAC","BUFEXAMAC"
"M02AA10","KETOPROFEN","KETOPROFENE","KETOPROFEN"
"M02AA11","BENDAZAC","BENZADAC","BENDAZAC"
"M02AA12","NAPROXEN","NAPROXENE","NAPROXEN"
"M02AA13","IBUPROFEN","IBUPROFENE","IBUPROFEN"
"M02AA14","FENTIAZAC","FENTIAZAC","FENTIAZAC"
"M02AA15","DICLOFENAC","DICLOFENAC","DICLOFENAC"
"M02AA16","FEPRAZONE","FEPRAZONE","FEPRAZON"
"M02AA17","NIFLUMIC ACID","ACIDE NIFLUMIQUE","NIFLUMINSÄURE"
"M02AA18","MECLOFENAMIC ACID","ACIDE MECLOFENAMIQUE","MECLOFENAMINSÄURE"
"M02AA19","FLURBIPROFEN","FLURBIPROFENE","FLURBIPROFEN"
"M02AA21","TOLMETIN","TOLMETINE","TOLMETIN"
"M02AA22","SUXIBUZONE","SUXIBUZONE","SUXIBUZON"
"M02AA23","INDOMETACIN","INDOMETACINE","INDOMETACIN"
"M02AA24","NIFENAZONE","NIFENAZONE","NIFENAZON"
"M02AB","CAPSICUM PREPARATIONS AND SIMILAR AGENTS","PREPARATIONS A BASE DE CAPSICUM ET APPARENTES","CAPSICUM-HALTIGE ZUBEREITUNGEN UND ÄHNLICHE MITTEL"
"M02AC","PREPARATIONS WITH SALICYLIC ACID DERIVATIVES","PREPARATIONS AVEC DES DERIVES DE L'ACIDE SALICYLIQUE","ZUBEREITUNGEN MIT SALICYLSÄURE-DERIVATEN"
"M02AX","OTHER TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN","AUTRES TOPIQUES POUR DOULEURS ARTICULAIRE ET MUSCULAIRE","ANDERE TOPISCHE MITTEL GEGEN GELENK- UND MUSKELSCHMERZEN"
"M02AX02","TOLAZOLINE","TOLAZOLINE","TOLAZOLIN"
"M02AX03","DIMETHYL SULFOXIDE","DIMETHYLE SULFOXYDE","DIMETHYLSULFOXID"
"M02AX10","VARIOUS","DIVERS","VERSCHIEDENE"
"M03","MUSCLE RELAXANTS","MYORELAXANTS","MUSKELRELAXANZIEN"
"M03A","MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS","MYORELAXANTS A ACTION PERIPHERIQUE","MUSKELRELAXANZIEN, PERIPHER WIRKENDE MITTEL"
"M03AA","CURARE ALKALOIDS","CURARES","CURARE-ALKALOIDE"
"M03AA01","ALCURONIUM","ALCURONIUM","ALCURONIUM"
"M03AA02","TUBOCURARINE","TUBOCURARINE","TUBOCURARIN"
"M03AA04","DIMETHYLTUBOCURARINE","DIMETHYLTUBOCURARINE","DIMETHYLTUBOCURARIN"
"M03AB","CHOLINE DERIVATIVES","DERIVES DE LA CHOLINE","CHOLIN-DERIVATE"
"M03AB01","SUXAMETHONIUM","SUXAMETHONIUM","SUXAMETHONIUM"
"M03AC","OTHER QUATERNARY AMMONIUM COMPOUNDS","AUTRES AMMONIUMS QUATERNAIRES","ANDERE QUARTÄRE AMMONIUM-VERBINDUNGEN"
"M03AC01","PANCURONIUM","PANCURONIUM","PANCURONIUM"
"M03AC02","GALLAMINE","GALLAMINE","GALLAMIN"
"M03AC03","VECURONIUM","VECURONIUM","VECURONIUM"
"M03AC04","ATRACURIUM","ATRACURIUM","ATRACURIUM"
"M03AC05","HEXAFLURONIUM","HEXAFLURONIUM","HEXAFLURONIUM"
"M03AC06","PIPECURONIUM BROMIDE","PIPECURONIUM BROMURE","PIPECURONIUMBROMID"
"M03AC07","DOXACURIUM CHLORIDE","DOXACURIUM CHLORURE","DOXACURIUMCHLORID"
